Retailer;Transaction ID;Invoice Date;Region;State;City;Product;Product ID; Price per Unit ;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
West Gear;IT0058;12/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA25; $37,00 ;70;2590;1579,9;0,61;Outlet
West Gear;IT0059;12/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA38; $46,00 ;52;2392;1674,4;0,7;Online
West Gear;IT0060;12/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA43; $50,00 ;200;100000;55000;0,55;Outlet
West Gear;IT0061;13/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA26; $31,00 ;140;4340;998,2;0,23;Outlet
West Gear;IT0062;13/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA40; $41,00 ;116;4756;1617,04;0,34;Online
West Gear;IT0063;13/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA46; $45,00 ;400;180000;36000;0,2;Outlet
West Gear;IT0064;14/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF30; $31,00 ;182;5642;2538,9;0,45;Outlet
West Gear;IT0065;14/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF45; $43,00 ;160;6880;3784;0,55;Online
West Gear;IT0066;14/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF48; $45,00 ;550;247500;99000;0,4;Outlet
West Gear;IT0067;15/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF41; $42,00 ;124;5208;1666,56;0,32;Outlet
West Gear;IT0068;15/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF52; $50,00 ;120;6000;2400;0,4;Online
West Gear;IT0069;15/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF58; $55,00 ;400;220000;55000;0,25;Outlet
West Gear;IT0070;16/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF57; $43,00 ;128;5504;2586,88;0,47;Outlet
West Gear;IT0071;16/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF69; $52,00 ;104;5408;2866,24;0,53;Online
West Gear;IT0072;16/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF72; $55,00 ;400;220000;88000;0,4;Outlet
West Gear;IT0073;17/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF48; $41,00 ;93;3813;1563,33;0,41;Outlet
West Gear;IT0074;17/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF61; $50,00 ;84;4200;1974;0,47;Online
West Gear;IT0075;17/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF67; $55,00 ;300;165000;57750;0,35;Outlet
West Gear;IT0076;18/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA33; $44,00 ;60;2640;1636,8;0,62;Outlet
West Gear;IT0077;18/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA50; $55,00 ;47;2585;1809,5;0,7;Online
West Gear;IT0078;18/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA56; $60,00 ;175;105000;57750;0,55;Outlet
West Gear;IT0079;19/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA36; $39,00 ;124;4836;1257,36;0,26;Outlet
West Gear;IT0080;19/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA59; $54,00 ;94;5076;1725,84;0,34;Online
West Gear;IT0081;19/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA61; $55,00 ;375;206250;41250;0,2;Outlet
West Gear;IT0082;20/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF43; $41,00 ;171;7011;2944,62;0,42;Outlet
West Gear;IT0083;20/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF67; $58,00 ;143;8294;4229,94;0,51;Online
West Gear;IT0084;20/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF69; $60,00 ;550;330000;132000;0,4;Outlet
West Gear;IT0085;21/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF47; $46,00 ;116;5336;1547,44;0,29;Outlet
West Gear;IT0086;21/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF69; $62,00 ;102;6324;2403,12;0,38;Online
West Gear;IT0087;21/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF73; $65,00 ;350;227500;56875;0,25;Outlet
Foot Locker;IT0088;21/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF42; $32,00 ;323;10336;3927,68;0,38;Outlet
Foot Locker;IT0089;21/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF48; $36,00 ;276;9936;4669,92;0,47;Online
Foot Locker;IT0090;21/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF52; $40,00 ;950;380000;133000;0,35;Outlet
West Gear;IT0091;22/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF63; $47,00 ;120;5640;2538;0,45;Outlet
West Gear;IT0092;22/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF82; $61,00 ;120;7320;3879,6;0,53;Online
West Gear;IT0093;22/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF87; $65,00 ;400;260000;104000;0,4;Outlet
Foot Locker;IT0094;22/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF36; $32,00 ;248;7936;3015,68;0,38;Outlet
Foot Locker;IT0095;22/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF51; $44,00 ;206;9064;4441,36;0,49;Online
Foot Locker;IT0096;22/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF53; $45,00 ;825;371250;129937,5;0,35;Outlet
West Gear;IT0097;23/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF45; $40,00 ;90;3600;1476;0,41;Outlet
West Gear;IT0098;23/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF74; $59,00 ;75;4425;2035,5;0,46;Online
West Gear;IT0099;23/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF75; $60,00 ;300;180000;63000;0,35;Outlet
Foot Locker;IT0100;23/01/2020;Northeast;New York;New York;Men's Apparel;MA32; $43,00 ;306;13158;4605,3;0,35;Outlet
Foot Locker;IT0101;23/01/2020;Northeast;New York;New York;Men's Apparel;MA54; $58,00 ;243;14094;6060,42;0,43;Online
Foot Locker;IT0102;23/01/2020;Northeast;New York;New York;Men's Apparel;MA56; $60,00 ;900;540000;162000;0,3;Outlet
West Gear;IT0103;24/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA39; $47,00 ;62;2914;1777,54;0,61;Outlet
West Gear;IT0104;24/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA60; $63,00 ;52;3276;2162,16;0,66;Online
West Gear;IT0105;24/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA63; $65,00 ;200;130000;71500;0,55;Outlet
Foot Locker;IT0106;24/01/2020;Northeast;New York;New York;Women's Apparel;WA33; $36,00 ;350;12600;3654;0,29;Outlet
Foot Locker;IT0107;24/01/2020;Northeast;New York;New York;Women's Apparel;WA50; $48,00 ;290;13920;5289,6;0,38;Online
Foot Locker;IT0108;24/01/2020;Northeast;New York;New York;Women's Apparel;WA54; $50,00 ;1000;500000;125000;0,25;Outlet
West Gear;IT0109;25/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA59; $54,00 ;123;6642;1793,34;0,27;Outlet
West Gear;IT0110;25/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA91; $78,00 ;95;7410;2519,4;0,34;Online
West Gear;IT0111;25/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA92; $80,00 ;350;280000;56000;0,2;Outlet
Foot Locker;IT0112;25/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF41; $40,00 ;390;15600;8112;0,52;Outlet
Foot Locker;IT0113;25/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF51; $46,00 ;354;16284;10258,92;0,63;Online
Foot Locker;IT0114;25/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF56; $50,00 ;1220;610000;305000;0,5;Outlet
West Gear;IT0115;26/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF45; $43,00 ;171;7353;3529,44;0,48;Outlet
West Gear;IT0116;26/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF67; $58,00 ;149;8642;5012,36;0,58;Online
West Gear;IT0117;26/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF69; $60,00 ;550;330000;148500;0,45;Outlet
Foot Locker;IT0118;26/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF31; $35,00 ;315;11025;3969;0,36;Outlet
Foot Locker;IT0119;26/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF49; $48,00 ;259;12432;5345,76;0,43;Online
Foot Locker;IT0120;26/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF52; $50,00 ;925;462500;138750;0,3;Outlet
West Gear;IT0121;27/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF42; $43,00 ;120;5160;1806;0,35;Outlet
West Gear;IT0122;27/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF66; $60,00 ;104;6240;2683,2;0,43;Online
West Gear;IT0123;27/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF73; $65,00 ;400;260000;78000;0,3;Outlet
Foot Locker;IT0124;27/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF34; $27,00 ;314;8478;3475,98;0,41;Outlet
Foot Locker;IT0125;27/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF51; $39,00 ;247;9633;4720,17;0,49;Online
Foot Locker;IT0126;27/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF52; $40,00 ;950;380000;133000;0,35;Outlet
West Gear;IT0127;28/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF65; $49,00 ;132;6468;3039,96;0,47;Outlet
West Gear;IT0128;28/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF84; $63,00 ;116;7308;4165,56;0,57;Online
West Gear;IT0129;28/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF87; $65,00 ;400;260000;117000;0,45;Outlet
Foot Locker;IT0130;28/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF35; $31,00 ;240;7440;2976;0,4;Outlet
Foot Locker;IT0131;28/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF50; $43,00 ;216;9288;4644;0,5;Online
Foot Locker;IT0132;28/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF53; $45,00 ;800;360000;126000;0,35;Outlet
West Gear;IT0133;29/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF57; $47,00 ;105;4935;2270,1;0,46;Outlet
West Gear;IT0134;29/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF72; $57,00 ;90;5130;2565;0,5;Online
West Gear;IT0135;29/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF75; $60,00 ;300;180000;72000;0,4;Outlet
Foot Locker;IT0136;29/01/2020;Northeast;New York;New York;Men's Apparel;MA32; $43,00 ;289;12427;3976,64;0,32;Outlet
Foot Locker;IT0137;29/01/2020;Northeast;New York;New York;Men's Apparel;MA55; $59,00 ;230;13570;5699,4;0,42;Online
Foot Locker;IT0138;29/01/2020;Northeast;New York;New York;Men's Apparel;MA56; $60,00 ;850;510000;153000;0,3;Outlet
West Gear;IT0139;30/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA32; $43,00 ;66;2838;1873,08;0,66;Outlet
West Gear;IT0140;30/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA56; $60,00 ;60;3600;2520;0,7;Online
West Gear;IT0141;30/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA63; $65,00 ;200;130000;78000;0,6;Outlet
Foot Locker;IT0142;30/01/2020;Northeast;New York;New York;Women's Apparel;WA33; $36,00 ;323;11628;3139,56;0,27;Outlet
Foot Locker;IT0143;30/01/2020;Northeast;New York;New York;Women's Apparel;WA46; $45,00 ;238;10710;3748,5;0,35;Online
Foot Locker;IT0144;30/01/2020;Northeast;New York;New York;Women's Apparel;WA54; $50,00 ;950;475000;118750;0,25;Outlet
West Gear;IT0145;31/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA59; $54,00 ;140;7560;2419,2;0,32;Outlet
West Gear;IT0146;31/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA91; $78,00 ;131;10218;3576,3;0,35;Online
West Gear;IT0147;31/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA92; $80,00 ;450;360000;90000;0,25;Outlet
Foot Locker;IT0148;31/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF32; $33,00 ;372;12276;6629,04;0,54;Outlet
Foot Locker;IT0149;31/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF48; $45,00 ;300;13500;8370;0,62;Online
Foot Locker;IT0150;31/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF56; $50,00 ;1200;600000;300000;0,5;Outlet
West Gear;IT0151;01/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF52; $47,00 ;245;11515;5757,5;0,5;Outlet
West Gear;IT0152;01/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF65; $56,00 ;189;10584;6032,88;0,57;Online
West Gear;IT0153;01/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF69; $60,00 ;700;420000;189000;0,45;Outlet
Foot Locker;IT0154;01/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF31; $35,00 ;315;11025;3638,25;0,33;Outlet
Foot Locker;IT0155;01/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF48; $47,00 ;234;10998;4509,18;0,41;Online
Foot Locker;IT0156;01/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF52; $50,00 ;900;450000;135000;0,3;Outlet
West Gear;IT0157;02/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF54; $51,00 ;182;9282;3341,52;0,36;Outlet
West Gear;IT0158;02/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF69; $62,00 ;165;10230;4194,3;0,41;Online
West Gear;IT0159;02/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF73; $65,00 ;550;357500;107250;0,3;Outlet
Foot Locker;IT0160;02/02/2020;Northeast;New York;New York;Women's Street Footwear;WSF35; $28,00 ;315;8820;3351,6;0,38;Outlet
Foot Locker;IT0161;02/02/2020;Northeast;New York;New York;Women's Street Footwear;WSF51; $39,00 ;252;9828;4914;0,5;Online
Foot Locker;IT0162;02/02/2020;Northeast;New York;New York;Women's Street Footwear;WSF52; $40,00 ;900;360000;126000;0,35;Outlet
West Gear;IT0163;03/02/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF62; $46,00 ;176;8096;3886,08;0,48;Outlet
West Gear;IT0164;03/02/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF83; $62,00 ;165;10230;6035,7;0,59;Online
West Gear;IT0165;03/02/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF87; $65,00 ;550;357500;160875;0,45;Outlet
Foot Locker;IT0166;03/02/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF35; $31,00 ;289;8959;3314,83;0,37;Outlet
Foot Locker;IT0167;03/02/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF48; $41,00 ;239;9799;4801,51;0,49;Online
Foot Locker;IT0168;03/02/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF53; $45,00 ;825;371250;129937,5;0,35;Outlet
West Gear;IT0169;04/02/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF57; $47,00 ;145;6815;3066,75;0,45;Outlet
West Gear;IT0170;04/02/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF73; $58,00 ;111;6438;3283,38;0,51;Online
West Gear;IT0171;04/02/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF75; $60,00 ;425;255000;102000;0,4;Outlet
Foot Locker;IT0172;04/02/2020;Northeast;New York;New York;Men's Apparel;MA33; $44,00 ;281;12364;4451,04;0,36;Outlet
Foot Locker;IT0173;04/02/2020;Northeast;New York;New York;Men's Apparel;MA52; $56,00 ;215;12040;5056,8;0,42;Online
Foot Locker;IT0174;04/02/2020;Northeast;New York;New York;Men's Apparel;MA56; $60,00 ;825;495000;148500;0,3;Outlet
West Gear;IT0175;05/02/2020;West;Nevada;Las Vegas;Men's Apparel;MA39; $47,00 ;105;4935;3207,75;0,65;Outlet
West Gear;IT0176;05/02/2020;West;Nevada;Las Vegas;Men's Apparel;MA55; $59,00 ;81;4779;3536,46;0,74;Online
West Gear;IT0177;05/02/2020;West;Nevada;Las Vegas;Men's Apparel;MA63; $65,00 ;300;195000;117000;0,6;Outlet
Foot Locker;IT0178;05/02/2020;Northeast;New York;New York;Women's Apparel;WA36; $39,00 ;333;12987;3506,49;0,27;Outlet
Foot Locker;IT0179;05/02/2020;Northeast;New York;New York;Women's Apparel;WA51; $49,00 ;238;11662;4314,94;0,37;Online
Foot Locker;IT0180;05/02/2020;Northeast;New York;New York;Women's Apparel;WA54; $50,00 ;950;475000;118750;0,25;Outlet
West Gear;IT0181;06/02/2020;West;Nevada;Las Vegas;Women's Apparel;WA65; $57,00 ;192;10944;3064,32;0,28;Outlet
West Gear;IT0182;06/02/2020;West;Nevada;Las Vegas;Women's Apparel;WA85; $73,00 ;174;12702;5080,8;0,4;Online
West Gear;IT0183;06/02/2020;West;Nevada;Las Vegas;Women's Apparel;WA92; $80,00 ;600;480000;120000;0,25;Outlet
Foot Locker;IT0184;06/02/2020;Northeast;New York;New York;Men's Street Footwear;MSF46; $44,00 ;366;16104;8374,08;0,52;Outlet
Foot Locker;IT0185;06/02/2020;Northeast;New York;New York;Men's Street Footwear;MSF61; $54,00 ;317;17118;10955,52;0,64;Online
Foot Locker;IT0186;06/02/2020;Northeast;New York;New York;Men's Street Footwear;MSF69; $60,00 ;1220;732000;366000;0,5;Outlet
West Gear;IT0187;07/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF53; $48,00 ;233;11184;4920,96;0,44;Outlet
West Gear;IT0188;07/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF67; $58,00 ;218;12644;6701,32;0,53;Online
West Gear;IT0189;07/02/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF69; $60,00 ;750;450000;180000;0,4;Outlet
Foot Locker;IT0190;07/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF34; $37,00 ;296;10952;3833,2;0,35;Outlet
Foot Locker;IT0191;07/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF52; $50,00 ;259;12950;5180;0,4;Online
Foot Locker;IT0192;07/02/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF60; $55,00 ;925;508750;152625;0,3;Outlet
West Gear;IT0193;08/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF47; $46,00 ;204;9384;2533,68;0,27;Outlet
West Gear;IT0194;08/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF68; $61,00 ;174;10614;3821,04;0,36;Online
West Gear;IT0195;08/02/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF73; $65,00 ;600;390000;97500;0,25;Outlet
Foot Locker;IT0196;08/02/2020;Northeast;New York;New York;Women's Street Footwear;WSF48; $36,00 ;288;10368;4354,56;0,42;Outlet
Foot Locker;IT0197;08/02/2020;Northeast;New York;New York;Women's Street Footwear;WSF62; $46,00 ;261;12006;5642,82;0,47;Online
